,history_generator_loss,history_discriminator_loss
0,"tf.Tensor(0.72013104, shape=(), dtype=float32)","tf.Tensor(1.3826541, shape=(), dtype=float32)"
1,"tf.Tensor(0.7306068, shape=(), dtype=float32)","tf.Tensor(1.3857064, shape=(), dtype=float32)"
2,"tf.Tensor(0.75446117, shape=(), dtype=float32)","tf.Tensor(1.3774928, shape=(), dtype=float32)"
3,"tf.Tensor(0.7614194, shape=(), dtype=float32)","tf.Tensor(1.3736727, shape=(), dtype=float32)"
4,"tf.Tensor(0.750388, shape=(), dtype=float32)","tf.Tensor(1.3811233, shape=(), dtype=float32)"
5,"tf.Tensor(0.7480729, shape=(), dtype=float32)","tf.Tensor(1.3634712, shape=(), dtype=float32)"
6,"tf.Tensor(0.73407227, shape=(), dtype=float32)","tf.Tensor(1.3577616, shape=(), dtype=float32)"
7,"tf.Tensor(0.72269905, shape=(), dtype=float32)","tf.Tensor(1.3599274, shape=(), dtype=float32)"
8,"tf.Tensor(0.71854126, shape=(), dtype=float32)","tf.Tensor(1.35926, shape=(), dtype=float32)"
9,"tf.Tensor(0.719362, shape=(), dtype=float32)","tf.Tensor(1.3405025, shape=(), dtype=float32)"
10,"tf.Tensor(0.71470463, shape=(), dtype=float32)","tf.Tensor(1.3472477, shape=(), dtype=float32)"
11,"tf.Tensor(0.71482325, shape=(), dtype=float32)","tf.Tensor(1.3534222, shape=(), dtype=float32)"
12,"tf.Tensor(0.7204248, shape=(), dtype=float32)","tf.Tensor(1.3570914, shape=(), dtype=float32)"
13,"tf.Tensor(0.7250184, shape=(), dtype=float32)","tf.Tensor(1.3319836, shape=(), dtype=float32)"
14,"tf.Tensor(0.72494626, shape=(), dtype=float32)","tf.Tensor(1.3420424, shape=(), dtype=float32)"
15,"tf.Tensor(0.7412916, shape=(), dtype=float32)","tf.Tensor(1.3383191, shape=(), dtype=float32)"
16,"tf.Tensor(0.7459414, shape=(), dtype=float32)","tf.Tensor(1.3214478, shape=(), dtype=float32)"
17,"tf.Tensor(0.75161016, shape=(), dtype=float32)","tf.Tensor(1.3269165, shape=(), dtype=float32)"
18,"tf.Tensor(0.7580409, shape=(), dtype=float32)","tf.Tensor(1.3107297, shape=(), dtype=float32)"
19,"tf.Tensor(0.76132476, shape=(), dtype=float32)","tf.Tensor(1.3146148, shape=(), dtype=float32)"
20,"tf.Tensor(0.7534525, shape=(), dtype=float32)","tf.Tensor(1.3107069, shape=(), dtype=float32)"
21,"tf.Tensor(0.75844085, shape=(), dtype=float32)","tf.Tensor(1.2704282, shape=(), dtype=float32)"
22,"tf.Tensor(0.75455105, shape=(), dtype=float32)","tf.Tensor(1.277309, shape=(), dtype=float32)"
23,"tf.Tensor(0.76012653, shape=(), dtype=float32)","tf.Tensor(1.2625332, shape=(), dtype=float32)"
24,"tf.Tensor(0.7690021, shape=(), dtype=float32)","tf.Tensor(1.2295634, shape=(), dtype=float32)"
25,"tf.Tensor(0.7796844, shape=(), dtype=float32)","tf.Tensor(1.2328693, shape=(), dtype=float32)"
26,"tf.Tensor(0.8058053, shape=(), dtype=float32)","tf.Tensor(1.2185977, shape=(), dtype=float32)"
27,"tf.Tensor(0.81490135, shape=(), dtype=float32)","tf.Tensor(1.1927202, shape=(), dtype=float32)"
28,"tf.Tensor(0.84249973, shape=(), dtype=float32)","tf.Tensor(1.168474, shape=(), dtype=float32)"
29,"tf.Tensor(0.8658069, shape=(), dtype=float32)","tf.Tensor(1.0920117, shape=(), dtype=float32)"
30,"tf.Tensor(0.8737961, shape=(), dtype=float32)","tf.Tensor(1.1181185, shape=(), dtype=float32)"
31,"tf.Tensor(0.89673316, shape=(), dtype=float32)","tf.Tensor(1.0721455, shape=(), dtype=float32)"
